LONGITUDE VZ	LATITUDE VZ	GLOBALID	REQUESTTYPE	REQUESTDATE	STREETSEGID	COMMENTS	USERTYPE
-76.99602348	38.9213053	{5F89244E-7835-4BD7-8351-9DFF1107FCFF}	Other Walking Issue	2015-09-25T21:37:38.000Z	6661	Very narrow sidewalk being shared with pedestrians and bikers. Dangerous to pass either because it is so narrow as well as because of heavy traffic. It is also not well lit in the late afternoon/evening.	Pedestrian
-77.02562036	38.90252955	{24BB4A86-A8E5-41CA-9CC4-57EE865550AD}	Other Driving Issue	2015-09-28T13:43:53.000Z	4091	"On the morning of 9/28, 4 drivers came at me the wrong way on one way streets here. 3 were drivers driving west on K & one north on 10th. This seems to be frequently done by people that want to go to the parking garage on K."	Biker
-77.04855504	38.89130965	{6A9862A6-E6CE-4251-A718-0CE095275B12}	Other Biking Issue	2015-09-28T16:23:50.000Z	10127	"No bike facilities here.  The sidewalk is narrow and has chain links on both sides, not suitable for biking.  The road is design like a highway.  There's plenty of space, please give cyclists some."	Biker
-77.00443741	38.92585776	{6132D960-94BF-49EA-B80B-4FE8AE2FA627}	Speeding	2015-09-28T17:49:38.000Z	8466	Drivers speed going westbound.  Parked cars are usually absent at night and drivers use this space to unsafely pass.  Needs curb bump outs	Car Driver
-77.02981	38.90490918	{8705E1DD-5111-4A2A-A47A-A870FC6B23BF}	Red light running	2015-09-29T18:12:12.000Z	11616	One car driver will run this red light every single light cycle.	Pedestrian
-77.03203176	38.90568477	{F5099EF4-6903-49BF-9958-E5872E0CFA7F}	Blocking the bikebox	2015-09-29T18:14:01.000Z	11616	"The design of this circle for bicyclists is just atrocious. Redesign this so that cyclists have their own space around perimeter, and cars must cross it at a 90 degree angle.  As is, cars drive in bike lane all the time."	Biker
-77.00873317	38.90747171	{CE6DD8BC-302B-4E79-A2DD-1D9BC8CB2DFE}	Other Walking Issue	2015-09-29T20:58:34.000Z	13000	The pedestrian signal head on the north side of NY Ave facing west for pedesttians crossing the easternmost N Capitol ramp is turned sideways and cannot be seen.	Pedestrian
-77.00057339	38.89665941	{9D906FC9-345A-4275-AAF3-2C37C10163EA}	Double parking	2015-09-29T21:22:43.000Z	796	Double parking while dropping off students and high travel speeds make this a very dangerous stretch for bikers.	Biker
-77.0005752	38.88562517	{8C80B8BB-5840-4FF5-92D6-1F76A6584E93}	Other Driving Issue	2015-09-29T21:26:06.000Z	9357	"Need better painted bike line, cars turn through bike lane without looking for cyclists"	Biker
-77.03832329	38.90565946	{4992453A-250F-4280-A185-C18058774F18}	Other Driving Issue	2015-10-01T16:39:16.000Z	8343	17th Street is one way South during the morning commute.  I am walking down 17th Street and every day I see at least 2 cars turning from M Street to go North on 17th because the illuminated One Way signs are too dim for the drivers to see.	Pedestrian
-77.00301232	38.92519478	{5841794F-E67B-48DA-8158-9F66594AEA06}	Other Driving Issue	2015-10-02T15:01:36.000Z	906	Flooding at this intersection turning right from Franklin onto Lincoln Rd. NE during heavy rain. Dangerous due to no yielding of traffic.	Car Driver
-76.98399236	38.8973369	{852EF665-13DA-4864-8677-6A7083E3B26D}	Poor visibility	2015-10-05T14:44:03.000Z	8400	"When traveling East on F St, it is difficult to see NE-bound traffic on Tennessee Ave (which has no stop sign)"	Car Driver
-77.04271844	38.90939748	{04474CE0-3EB6-4460-84E7-EC4512FC56D0}	Other Driving Issue	2015-10-05T15:41:19.000Z	8594	"Cars in inner loop of circle regularly fail to obey the ""must exit onto Mass Ave"" rules and continue around the circle conflicting with peds who have the ""walk"" signal.  Better signs, pavement markings and education needed to ensure pedestrian safety"	Pedestrian
-77.02119452	38.91262765	{589E9DC5-1E3C-4D5E-9BC8-7F2729C70435}	Speeding	2015-10-05T18:57:08.000Z	10428	Cars are always speeding through this intersection. Speed camera please!	Biker
-77.04276271	38.90996545	{B9B40820-DA91-4B1E-8C20-2431EE39EA9F}	Other Walking Issue	2015-10-05T19:04:10.000Z	2616	"There is no reason why Dupont Circle needs to be 4 traffic lanes wide. This park, and the quality of life for all community members and office workers would be greatly enhanced if the circle were increased by converting the narrowest lane to park!"	Pedestrian
-77.04937552	38.92263164	{7AA18BEB-CF4D-4B63-9261-984DA5CCCDDB}	Other Biking Issue	2015-10-05T19:06:15.000Z	11953	Road conditions on RCP are terrible. Cars should be totally banned on weekends.	Biker
-77.0319647	38.88953469	{D6B4FCCB-3B51-44BA-8145-15F91E005BB1}	Long wait to cross	2015-10-05T19:09:41.000Z	7952	Either bury the streets crossing the mall or just get rid of them. To have our national mall intersected by a bunch of 6 lane highways is a national disgrace. Would make a HUGE difference in the quality of life for all DC and visitors too.	Pedestrian
-77.02703847	38.92077086	{69FC5171-B588-48B6-A532-2659951CE186}	Other Driving Issue	2015-10-06T14:07:45.000Z	7206	Southbound cars will constantly enter the bike lane at the bottom of the hill w/o a signal to get around a car turning left at the intersection. I have nearly been hit here 3x in 2wks. Please add L turn lane and/or guardposts for bike lane.	Biker
-77.04129646	38.93236394	{605A8052-9BB9-4C6E-B4E1-40F0E0FB10DF}	Other Driving Issue	2015-10-06T14:11:35.000Z	8038	"There's a giant pothole here that's over 5"" deep and hard to see on a blind left. PLEASE FIX."	Car Driver
-77.01989938	38.96641671	{6C6E9A6C-EE24-4B2F-AC50-265E582C252C}	Long distance to cross	2015-10-07T18:50:40.000Z	143	Walking to school with kids across 5th can be a challenge. There are two schools right here and we have so many drivers from Maryland speeding on 5th to avoid Georgia. Traffic calming on 5th please!	Pedestrian
-77.00057983	38.87987379	{2B29E913-0C6F-4F76-9AD5-BC3AD9B7085D}	Other Biking Issue	2015-09-29T21:28:30.000Z	2998	"Construction forces bike and car lanes to merge, and there is no signage/lines to make that clear."	Biker
-77.01736497	38.91261322	{EBB28BE1-95EA-4ADC-A31D-6C860860FD6A}	Speeding	2015-10-05T18:58:29.000Z	2542	"Totally agree with all other posts about speeding. This street is one of the worst I've seen in DC, and there seems to be ZERO enforcement."	Pedestrian
-77.04593291	38.95019496	{E9E95820-7A72-4958-A5DD-BF3652EA76BE}	Other Biking Issue	2015-10-05T19:07:26.000Z	10120	Road conditions are terrible! Cars should be totally banned from Beach drive (it's a park!) just as NYC recently did in Central Park.	Biker
-77.03542887	38.90566534	{406757DB-D17D-4E0A-AF10-02831B8DD5BE}	Other Biking Issue	2015-10-07T14:20:18.000Z	3266	Bike facility here is not safe.  Should be protected like the rest of M St	Biker
-77.01499077	38.89613572	{BBAD3C1A-1145-4FEC-9BA7-E1E3144DDB49}	Other Driving Issue	2015-10-08T23:28:35.000Z	2107	"Many cars use the left-turn lane for West-bound E St NW thinking it’s the straight lane, nearly hitting cars driving correctly. Paint indicating that it’s a turn only lane further back may help."	Car Driver
-77.00248094	38.91260731	{BB45715C-5201-45CC-BDE6-CF92644F5C3C}	Other Biking Issue	2015-10-10T11:37:32.000Z	3321	Cyclist hit by car	Biker
-77.0250732	38.90178663	{5B561174-D184-4159-A288-2AB9D6B69DCF}	Other Driving Issue	2015-10-10T11:42:54.000Z	7725	"Cars in this parking lane frequently cut into bike lane without checking,  it is often taxis and short term parking"	Biker
-77.02431729	38.93644657	{1720FC58-139B-4DD6-AF38-7507DB99EFB8}	Other Driving Issue	2015-10-10T18:04:28.000Z	8388	"Lots of road rage at this intersection due to people illegally trying to turn left. Anytime someone does this, drivers behind them lay on their horns and aggressively try to pass, endangering pedestrians/cyclists."	Pedestrian
-77.04330673	38.89598254	{943B10C0-3477-4702-A7D6-E0899EF3B5B7}	Poor visibility	2015-10-13T17:27:07.000Z	8401	"Cross walk signal on the south east corner of 11th and E is turned around so pedestrians cannot see whether it is ""walk"" or ""stop"""	Pedestrian
-77.04347586	38.89570428	{1D21649A-A91F-49AE-9F43-3F85EB1D3EBD}	Speeding	2015-10-13T17:28:14.000Z	1971		Pedestrian
